Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,ENA Express support,On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand ap-northeast-1-tpe-1 Windows pricing,On-Demand ap-northeast-1-tpe-1 SUSE pricing,On-Demand ap-northeast-1-tpe-1 RHEL pricing,On-Demand ap-northeast-1-tpe-1 Linux pricing
m6a.8xlarge,m6a,8xlarge,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,nitro,32,x86_64,16,"4,6,8,10,12,14,16",2,"1,2",3.6,128,-,-,-,-,supported,default,12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,3.2576 USD per Hour,1.7856 USD per Hour,1.9106 USD per Hour,1.9156 USD per Hour,,,,
m6a.12xlarge,m6a,12xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,48,x86_64,24,"1,2,3,4,5,6,7,8,16,24",2,"1,2",3.6,192,-,-,-,-,supported,default,18.75 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,4.8864 USD per Hour,2.6784 USD per Hour,2.8034 USD per Hour,2.8084 USD per Hour,,,,
m6a.16xlarge,m6a,16xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,64,x86_64,32,"4,6,8,10,12,14,16,32",2,"1,2",3.6,256,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,6.5152 USD per Hour,3.5712 USD per Hour,3.6962 USD per Hour,3.7012 USD per Hour,,,,
m6a.24xlarge,m6a,24xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,96,x86_64,48,"4,6,8,10,12,14,16,32,48",2,"1,2",3.6,384,-,-,-,-,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,9.7728 USD per Hour,5.3568 USD per Hour,5.4818 USD per Hour,5.4868 USD per Hour,,,,
m6a.32xlarge,m6a,32xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,128,x86_64,64,"8,12,16,20,24,28,32,64",2,"1,2",3.6,512,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,13.0304 USD per Hour,7.1424 USD per Hour,7.2674 USD per Hour,7.2724 USD per Hour,,,,
m6a.48xlarge,m6a,48xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,192,x86_64,96,"8,12,16,20,24,28,32,64,96",2,"1,2",3.6,768,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,true,19.5456 USD per Hour,10.7136 USD per Hour,10.8386 USD per Hour,10.8436 USD per Hour,,,,
m6a.metal,m6a,metal,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,true,,192,x86_64,96,-,2,-,3.6,768,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,true,19.5456 USD per Hour,10.7136 USD per Hour,10.8386 USD per Hour,10.8436 USD per Hour,,,,
m6g.medium,m6g,medium,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,1,arm64,1,-,1,-,2.5,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.0495 USD per Hour,0.0805 USD per Hour,0.1095 USD per Hour,,,,
m6g.large,m6g,large,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.099 USD per Hour,0.1553 USD per Hour,0.159 USD per Hour,,,,
m6g.xlarge,m6g,xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.198 USD per Hour,0.2543 USD per Hour,0.258 USD per Hour,,,,
m6g.2xlarge,m6g,2xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.396 USD per Hour,0.521 USD per Hour,0.526 USD per Hour,,,,
m6g.4xlarge,m6g,4xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,64,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,0.792 USD per Hour,0.917 USD per Hour,0.922 USD per Hour,,,,
m6g.8xlarge,m6g,8xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,128,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,1.584 USD per Hour,1.709 USD per Hour,1.714 USD per Hour,,,,
m6g.12xlarge,m6g,12xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.5,192,-,-,-,-,supported,default,20 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,2.376 USD per Hour,2.501 USD per Hour,2.506 USD per Hour,,,,
m6g.16xlarge,m6g,16xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,256,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,3.168 USD per Hour,3.293 USD per Hour,3.298 USD per Hour,,,,
m6g.metal,m6g,metal,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,true,,64,arm64,64,-,1,-,2.5,256,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,,3.168 USD per Hour,3.293 USD per Hour,3.298 USD per Hour,,,,
m6gd.medium,m6gd,medium,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,1,arm64,1,-,1,-,2.5,4,59,true,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,,0.0585 USD per Hour,0.0895 USD per Hour,0.1185 USD per Hour,,,,
m6gd.large,m6gd,large,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,8,118,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,,0.117 USD per Hour,0.1733 USD per Hour,0.177 USD per Hour,,,,
m6gd.xlarge,m6gd,xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,16,237,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,,0.234 USD per Hour,0.2903 USD per Hour,0.294 USD per Hour,,,,
m6gd.2xlarge,m6gd,2xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,32,474,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,,0.468 USD per Hour,0.593 USD per Hour,0.598 USD per Hour,,,,
m6gd.4xlarge,m6gd,4xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,64,950,true,ssd,1,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,,0.936 USD per Hour,1.061 USD per Hour,1.066 USD per Hour,,,,
m6gd.8xlarge,m6gd,8xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,128,1900,true,ssd,1,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,,1.872 USD per Hour,1.997 USD per Hour,2.002 USD per Hour,,,,
m6gd.12xlarge,m6gd,12xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.5,192,2850,true,ssd,2,supported,default,20 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,,2.808 USD per Hour,2.933 USD per Hour,2.938 USD per Hour,,,,
m6gd.16xlarge,m6gd,16xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,256,3800,true,ssd,2,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,,3.744 USD per Hour,3.869 USD per Hour,3.874 USD per Hour,,,,
m6gd.metal,m6gd,metal,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,true,,64,arm64,64,-,1,-,2.5,256,3800,true,ssd,2,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,,3.744 USD per Hour,3.869 USD per Hour,3.874 USD per Hour,,,,
m6i.large,m6i,large,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,8,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,0.216 USD per Hour,0.124 USD per Hour,0.1803 USD per Hour,0.184 USD per Hour,,,,
m6i.xlarge,m6i,xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,0.432 USD per Hour,0.248 USD per Hour,0.3043 USD per Hour,0.308 USD per Hour,,,,
m6i.2xlarge,m6i,2xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,32,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,0.864 USD per Hour,0.496 USD per Hour,0.621 USD per Hour,0.626 USD per Hour,,,,
m6i.4xlarge,m6i,4xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.5,64,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,1.728 USD per Hour,0.992 USD per Hour,1.117 USD per Hour,1.122 USD per Hour,,,,
m6i.8xlarge,m6i,8xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.5,128,-,-,-,-,supported,default,12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,3.456 USD per Hour,1.984 USD per Hour,2.109 USD per Hour,2.114 USD per Hour,,,,
m6i.12xlarge,m6i,12xlarge,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.5,192,-,-,-,-,supported,default,18.75 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,5.184 USD per Hour,2.976 USD per Hour,3.101 USD per Hour,3.106 USD per Hour,,,,
m6i.16xlarge,m6i,16xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.5,256,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,6.912 USD per Hour,3.968 USD per Hour,4.093 USD per Hour,4.098 USD per Hour,,,,
m6i.24xlarge,m6i,24xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.5,384,-,-,-,-,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,10.368 USD per Hour,5.952 USD per Hour,6.077 USD per Hour,6.082 USD per Hour,,,,
m6i.32xlarge,m6i,32xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,128,x86_64,64,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,512,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,true,13.824 USD per Hour,7.936 USD per Hour,8.061 USD per Hour,8.066 USD per Hour,,,,
m6i.metal,m6i,metal,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,true,,128,x86_64,64,-,2,-,3.5,512,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,true,13.824 USD per Hour,7.936 USD per Hour,8.061 USD per Hour,8.066 USD per Hour,,,,
m6id.large,m6id,large,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,8,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.2453 USD per Hour,0.1533 USD per Hour,0.2096 USD per Hour,0.2133 USD per Hour,,,,
m6id.xlarge,m6id,xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16,237,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.4906 USD per Hour,0.3066 USD per Hour,0.3629 USD per Hour,0.3666 USD per Hour,,,,
m6id.2xlarge,m6id,2xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,32,474,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.9812 USD per Hour,0.6132 USD per Hour,0.7382 USD per Hour,0.7432 USD per Hour,,,,
m6id.4xlarge,m6id,4xlarge,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.5,64,950,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,1.9624 USD per Hour,1.2264 USD per Hour,1.3514 USD per Hour,1.3564 USD per Hour,,,,
m6id.8xlarge,m6id,8xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.5,128,1900,true,ssd,1,supported,default,12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,3.9248 USD per Hour,2.4528 USD per Hour,2.5778 USD per Hour,2.5828 USD per Hour,,,,
m6id.12xlarge,m6id,12xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.5,192,2850,true,ssd,2,supported,default,18.75 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,5.8872 USD per Hour,3.6792 USD per Hour,3.8042 USD per Hour,3.8092 USD per Hour,,,,
m6id.16xlarge,m6id,16xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.5,256,3800,true,ssd,2,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,7.8496 USD per Hour,4.9056 USD per Hour,5.0306 USD per Hour,5.0356 USD per Hour,,,,
m6id.24xlarge,m6id,24xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.5,384,5700,true,ssd,4,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,11.7744 USD per Hour,7.3584 USD per Hour,7.4834 USD per Hour,7.4884 USD per Hour,,,,
m6id.32xlarge,m6id,32xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,128,x86_64,64,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,512,7600,true,ssd,4,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,true,15.6992 USD per Hour,9.8112 USD per Hour,9.9362 USD per Hour,9.9412 USD per Hour,,,,
m6id.metal,m6id,metal,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,true,,128,x86_64,64,-,2,-,3.5,512,7600,true,ssd,4,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,true,15.6992 USD per Hour,9.8112 USD per Hour,9.9362 USD per Hour,9.9412 USD per Hour,,,,
m6idn.large,m6idn,large,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,8,118,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,0.29675 USD per Hour,0.20475 USD per Hour,0.26105 USD per Hour,0.26475 USD per Hour,,,,
m6idn.xlarge,m6idn,xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16,237,true,ssd,1,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,0.5935 USD per Hour,0.4095 USD per Hour,0.4658 USD per Hour,0.4695 USD per Hour,,,,
m6idn.2xlarge,m6idn,2xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.5,32,474,true,ssd,1,supported,default,Up to 40 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,1.187 USD per Hour,0.819 USD per Hour,0.944 USD per Hour,0.949 USD per Hour,,,,
m6idn.4xlarge,m6idn,4xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.5,64,950,true,ssd,1,supported,default,Up to 50 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,2.374 USD per Hour,1.638 USD per Hour,1.763 USD per Hour,1.768 USD per Hour,,,,
m6idn.8xlarge,m6idn,8xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",3.5,128,1900,true,ssd,1,supported,default,50 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,4.748 USD per Hour,3.276 USD per Hour,3.401 USD per Hour,3.406 USD per Hour,,,,
m6idn.12xlarge,m6idn,12xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,48,x86_64,24,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",2,"1,2",3.5,192,2850,true,ssd,2,supported,default,75 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,7.122 USD per Hour,4.914 USD per Hour,5.039 USD per Hour,5.044 USD per Hour,,,,
m6idn.16xlarge,m6idn,16xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,64,x86_64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",2,"1,2",3.5,256,3800,true,ssd,2,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,9.496 USD per Hour,6.552 USD per Hour,6.677 USD per Hour,6.682 USD per Hour,,,,
m6idn.24xlarge,m6idn,24xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,96,x86_64,48,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.5,384,5700,true,ssd,4,supported,default,150 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,14.244 USD per Hour,9.828 USD per Hour,9.953 USD per Hour,9.958 USD per Hour,,,,
m6idn.32xlarge,m6idn,32xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,128,x86_64,64,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,512,7600,true,ssd,4,supported,default,200 Gigabit,required,14,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,18.992 USD per Hour,13.104 USD per Hour,13.229 USD per Hour,13.234 USD per Hour,,,,
m6idn.metal,m6idn,metal,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,true,,128,x86_64,64,-,2,-,3.5,512,7600,true,ssd,4,supported,default,200 Gigabit,required,14,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,false,18.992 USD per Hour,13.104 USD per Hour,13.229 USD per Hour,13.234 USD per Hour,,,,
m6in.large,m6in,large,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,8,-,-,-,-,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,0.27101 USD per Hour,0.17901 USD per Hour,0.23531 USD per Hour,0.23901 USD per Hour,,,,
m6in.xlarge,m6in,xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16,-,-,-,-,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,0.54202 USD per Hour,0.35802 USD per Hour,0.41432 USD per Hour,0.41802 USD per Hour,,,,
m6in.2xlarge,m6in,2xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.5,32,-,-,-,-,supported,default,Up to 40 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,1.08404 USD per Hour,0.71604 USD per Hour,0.84104 USD per Hour,0.84604 USD per Hour,,,,
m6in.4xlarge,m6in,4xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.5,64,-,-,-,-,supported,default,Up to 50 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,2.16808 USD per Hour,1.43208 USD per Hour,1.55708 USD per Hour,1.56208 USD per Hour,,,,
m6in.8xlarge,m6in,8xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",3.5,128,-,-,-,-,supported,default,50 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,4.33616 USD per Hour,2.86416 USD per Hour,2.98916 USD per Hour,2.99416 USD per Hour,,,,
m6in.12xlarge,m6in,12xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,48,x86_64,24,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",2,"1,2",3.5,192,-,-,-,-,supported,default,75 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,6.50424 USD per Hour,4.29624 USD per Hour,4.42124 USD per Hour,4.42624 USD per Hour,,,,
